Division,Team,Wins,Losses,OvertimeShootoutLosses,Points
Atlantic,BOS,60,12,5,125
Atlantic,TOR,45,21,10,100
Atlantic,TBL,45,26,6,96
Atlantic,FLA,39,31,7,85
Atlantic,BUF,37,31,7,81
Atlantic,OTT,37,34,6,80
Atlantic,DET,34,33,9,77
Atlantic,MTL,30,41,6,66
Metropolitan,CAR,49,18,9,107
Metropolitan,NJD,48,21,8,104
Metropolitan,NYR,45,21,11,101
Metropolitan,NYI,39,30,9,87
Metropolitan,PIT,38,29,10,86
Metropolitan,WSH,34,34,9,77
Metropolitan,PHI,29,34,13,71
Metropolitan,CBJ,24,44,8,56
Central,MIN,44,23,9,97
Central,COL,45,24,6,96
Central,DAL,41,21,14,96
Central,WPG,43,31,3,89
Central,NSH,38,29,8,84
Central,STL,35,35,7,77
Central,ARI,27,37,13,67
Central,CHI,24,46,6,54
Pacific,VEG,47,22,7,101
Pacific,LAK,45,22,10,100
Pacific,EDM,45,23,9,99
Pacific,SEA,41,26,8,90
Pacific,CGY,36,26,15,87
Pacific,VAN,34,35,7,75
Pacific,SJS,22,39,15,59
Pacific,ANA,23,44,10,56
